code,d13C,d18O,year,Ocean,sfl,yearclass,Assigned_origin,oto_portion,months_sampled,caught_EW,age_group
ABFT_1,-8.73,-0.85,2009,ATL,164.5,2002,East,core,12,East,post_2yr
ABFT_2,-8.37,-1.27,2009,ATL,165,2002,West,core,12,East,post_2yr
ABFT_3,-8.13,-0.96,2009,ATL,166.5,2002,East,core,12,East,post_2yr
ABFT_4,-7.93,-0.68,2009,ATL,166.5,2002,East,core,12,East,post_2yr
ABFT_5,-7.53,-0.68,2009,ATL,167,2002,East,core,12,East,post_2yr
ABFT_6,-8.83,-0.75,2009,ATL,167,2002,East,core,12,East,post_2yr
ABFT_7,-8.89,-0.63,2009,ATL,166.5,2002,East,core,12,East,post_2yr
ABFT_8,-7.8,-0.56,2009,ATL,168,2002,East,core,12,East,post_2yr
ABFT_9,-8.33,-0.83,2009,ATL,167.5,2002,East,core,12,East,post_2yr
ABFT_10,-8.09,-1.21,2009,ATL,168.5,2002,West,core,12,East,post_2yr
ABFT_11,-7.86,-0.84,2009,ATL,170,2002,East,core,12,East,post_2yr
ABFT_12,-8.2,-0.8,2010,ATL,182,2002,East,core,12,East,post_2yr
ABFT_13,-8.24,-0.97,2009,ATL,149.6,2003,East,core,12,East,post_2yr
ABFT_14,-8.68,-1,2009,ATL,152.5,2003,West,core,12,East,post_2yr
ABFT_15,-7.33,-1.11,2009,ATL,152.5,2003,East,core,12,East,post_2yr
ABFT_16,-7.97,-1.66,2009,ATL,152.5,2003,West,core,12,East,post_2yr
ABFT_17,-8.29,-1.12,2009,ATL,153,2003,West,core,12,East,post_2yr
ABFT_18,-8.66,-0.94,2009,ATL,155.5,2003,East,core,12,East,post_2yr
ABFT_19,-8.28,-0.86,2009,ATL,155.5,2003,East,core,12,East,post_2yr
ABFT_20,-8.42,-1.7,2009,ATL,155,2003,West,core,12,East,post_2yr
ABFT_21,-6.96,-0.64,2009,ATL,155.2,2003,East,core,12,East,post_2yr
ABFT_22,-8.89,-0.91,2009,ATL,155,2003,East,core,12,East,post_2yr
ABFT_23,-8.16,-0.8,2009,ATL,155.6,2003,East,core,12,East,post_2yr
ABFT_24,-7.8,-0.93,2009,ATL,156.3,2003,East,core,12,East,post_2yr
ABFT_25,-8.93,-0.63,2009,ATL,156.5,2003,East,core,12,East,post_2yr
ABFT_26,-8.39,-0.6,2009,ATL,156.5,2003,East,core,12,East,post_2yr
ABFT_27,-8.6,-0.72,2009,ATL,158,2003,East,core,12,East,post_2yr
ABFT_28,-7.9,-0.75,2009,ATL,158,2003,East,core,12,East,post_2yr
ABFT_29,-7.64,-0.74,2009,ATL,158.5,2003,East,core,12,East,post_2yr
ABFT_30,-7.36,-1.15,2009,ATL,159.5,2003,East,core,12,East,post_2yr
ABFT_31,-8.86,-1.21,2009,ATL,160,2003,West,core,12,East,post_2yr
ABFT_32,-7.72,-0.73,2009,ATL,160,2003,East,core,12,East,post_2yr
ABFT_33,-8.11,-0.14,2009,ATL,159.5,2003,East,core,12,East,post_2yr
ABFT_34,-7.83,-0.63,2009,ATL,160,2003,East,core,12,East,post_2yr
ABFT_35,-8.51,-0.44,2009,ATL,160,2003,East,core,12,East,post_2yr
ABFT_36,-7.51,-0.79,2009,ATL,162,2003,East,core,12,East,post_2yr
ABFT_37,-7.64,-0.64,2009,ATL,163,2003,East,core,12,East,post_2yr
ABFT_38,-8.37,-0.94,2009,ATL,162,2003,East,core,12,East,post_2yr
ABFT_39,-8.71,-0.85,2009,ATL,162.5,2003,East,core,12,East,post_2yr
ABFT_40,-8.68,-0.63,2009,ATL,135.2,2004,East,core,12,East,post_2yr
ABFT_41,-7.45,-0.43,2009,ATL,135,2004,East,core,12,East,post_2yr
ABFT_42,-9.21,-1.07,2009,ATL,139,2004,West,core,12,East,post_2yr
ABFT_43,-9.06,-0.94,2009,ATL,143,2004,West,core,12,East,post_2yr
ABFT_44,-8.07,-0.6,2009,ATL,143.5,2004,East,core,12,East,post_2yr
ABFT_45,-8.27,-0.68,2009,ATL,146.5,2004,East,core,12,East,post_2yr
ABFT_46,-7.41,-1.03,2009,ATL,147.1,2004,East,core,12,East,post_2yr
ABFT_47,-7.44,-0.59,2009,ATL,148.5,2004,East,core,12,East,post_2yr
ABFT_48,-8.24,-0.7,2010,ATL,154,2004,East,core,12,East,post_2yr
